cell,label,tp,pp,layer_split,workload,tps,runtime_s,ttft_ms,success
mistral123b_TP8PP1_uniform_balanced,TP8PP1_uniform,8,1,88,balanced,905.4,27.1,1580.7,True
mistral123b_TP8PP1_uniform_decode_heavy,TP8PP1_uniform,8,1,88,decode_heavy,807.7,60.9,1624.8,True
mistral123b_TP8PP1_uniform_prefill_heavy,TP8PP1_uniform,8,1,88,prefill_heavy,717.9,17.1,2216.4,True
mistral123b_TP8PP1_ffn_bias+25_balanced,TP8PP1_ffn_bias+25,8,1,88,balanced,832.5,29.5,1607.1,True
mistral123b_TP8PP1_ffn_bias+25_decode_heavy,TP8PP1_ffn_bias+25,8,1,88,decode_heavy,850.6,57.8,1892.2,True
mistral123b_TP8PP1_ffn_bias+25_prefill_heavy,TP8PP1_ffn_bias+25,8,1,88,prefill_heavy,761.0,16.1,2129.5,True
mistral123b_TP8PP1_ffn_bias+50_balanced,TP8PP1_ffn_bias+50,8,1,88,balanced,844.6,29.1,1553.3,True
mistral123b_TP8PP1_ffn_bias+50_decode_heavy,TP8PP1_ffn_bias+50,8,1,88,decode_heavy,867.8,56.6,1565.6,True
mistral123b_TP8PP1_ffn_bias+50_prefill_heavy,TP8PP1_ffn_bias+50,8,1,88,prefill_heavy,772.9,15.9,2107.6,True
mistral123b_TP8PP1_ffn_bias+75_balanced,TP8PP1_ffn_bias+75,8,1,88,balanced,830.6,29.6,1612.7,True
mistral123b_TP8PP1_ffn_bias+75_decode_heavy,TP8PP1_ffn_bias+75,8,1,88,decode_heavy,850.7,57.8,1581.9,True
mistral123b_TP8PP1_ffn_bias+75_prefill_heavy,TP8PP1_ffn_bias+75,8,1,88,prefill_heavy,758.8,16.2,2154.5,True
mistral123b_TP4PP2_layer_uniform_44-44_balanced,TP4PP2_layer_uniform_44-44,4,2,44-44,balanced,828.8,29.7,1479.3,True
mistral123b_TP4PP2_layer_uniform_44-44_decode_heavy,TP4PP2_layer_uniform_44-44,4,2,44-44,decode_heavy,853.2,57.6,1395.5,True
mistral123b_TP4PP2_layer_uniform_44-44_prefill_heavy,TP4PP2_layer_uniform_44-44,4,2,44-44,prefill_heavy,766.1,16.0,1791.1,True
mistral123b_TP4PP2_layer_skew+4_48-40_balanced,TP4PP2_layer_skew+4_48-40,4,2,48-40,balanced,908.4,27.1,1434.5,True
mistral123b_TP4PP2_layer_skew+4_48-40_decode_heavy,TP4PP2_layer_skew+4_48-40,4,2,48-40,decode_heavy,936.2,52.5,1396.1,True
mistral123b_TP4PP2_layer_skew+4_48-40_prefill_heavy,TP4PP2_layer_skew+4_48-40,4,2,48-40,prefill_heavy,826.0,14.9,1876.5,True
mistral123b_TP4PP2_layer_skew+8_52-36_balanced,TP4PP2_layer_skew+8_52-36,4,2,52-36,balanced,985.3,24.9,1388.2,True
mistral123b_TP4PP2_layer_skew+8_52-36_decode_heavy,TP4PP2_layer_skew+8_52-36,4,2,52-36,decode_heavy,1023.4,48.0,1433.0,True
mistral123b_TP4PP2_layer_skew+8_52-36_prefill_heavy,TP4PP2_layer_skew+8_52-36,4,2,52-36,prefill_heavy,881.5,13.9,1880.3,True
mistral123b_TP4PP2_layer_skew+12_56-32_balanced,TP4PP2_layer_skew+12_56-32,4,2,56-32,balanced,993.8,24.7,1420.8,True
